Donors Returns - 2014-15,
 data exported: 01/Feb/2017 12:02,
DonorClientNm,DonorAddressLine1,DonorSuburb,DonorStateAb,DonorPostcode,RecipientClientNm,DonationDt,AmountPaid,
"Asciano Services Pty Ltd","Level 6, 15 Blue Street","NORTH SYDNEY","NSW","2060","Liberal Party of Australia, NSW Division","25/09/2014 12:00:00 AM","95.0000",
"Aspen Medical Pty Ltd","Suite 17C, 2 King Street","DEAKIN","ACT","2600","LIB","25/09/2014 12:00:00 AM","5000.0000",
"Aspen Medical Pty Ltd","Suite 17C, 2 King Street","DEAKIN","ACT","2600","LNP-QLD","16/01/2015 12:00:00 AM","3300.0000",
"Aspen Medical Pty Ltd","Suite 17C, 2 King Street","DEAKIN","ACT","2600","LIB-NSW","28/07/2014 12:00:00 AM","3000.0000",
"Aspen Medical Pty Ltd","Suite 17C, 2 King Street","DEAKIN","ACT","2600","LIB-NSW","05/08/2014 12:00:00 AM","2000.0000",
"Aspen Medical Pty Ltd","Suite 17C, 2 King Street","DEAKIN","ACT","2600","LIB-SA","22/05/2015 12:00:00 AM","2000.0000",
"Aspen Medical Pty Ltd","Suite 17C, 2 King Street","DEAKIN","ACT","2600","LIB-ACT","04/05/2015 12:00:00 AM","1250.0000",
"Aspen Medical Pty Ltd","Suite 17C, 2 King Street","DEAKIN","ACT","2600","LIB-NSW","24/10/2014 12:00:00 AM","1000.0000",
"Aspen Medical Pty Ltd","Suite 17C, 2 King Street","DEAKIN","ACT","2600","LIB-ACT","22/05/2015 12:00:00 AM","995.0000",
"Aspen Medical Pty Ltd","Suite 17C, 2 King Street","DEAKIN","ACT","2600","LIB-ACT","30/07/2014 12:00:00 AM","995.0000",
"Aspen Medical Pty Ltd","Suite 17C, 2 King Street","DEAKIN","ACT","2600","LIB-ACT","27/02/2015 12:00:00 AM","995.0000",
"Aspen Medical Pty Ltd","Suite 17C, 2 King Street","DEAKIN","ACT","2600","LIB-ACT","20/10/2014 12:00:00 AM","400.0000",
"Aspen Medical Pty Ltd","Suite 17C, 2 King Street","DEAKIN","ACT","2600","LIB-NSW","05/05/2015 12:00:00 AM","400.0000",
"Aspen Medical Pty Ltd","Suite 17C, 2 King Street","DEAKIN","ACT","2600","LIB-ACT","22/09/2014 12:00:00 AM","180.0000",
"Aurizon Holdings Limited","GPO Box 456","BRISBANE","QLD","4000","ALP","13/08/2014 12:00:00 AM","8500.0000",
"Aurizon Holdings Limited","GPO Box 456","BRISBANE","QLD","4000","LNP - QLD","19/06/2015 12:00:00 AM","4285.0000",
"Aurizon Holdings Limited","GPO Box 456","BRISBANE","QLD","4000","LNP - QLD","29/07/2014 12:00:00 AM","3300.0000",
"Aurizon Holdings Limited","GPO Box 456","BRISBANE","QLD","4000","LNP - QLD","17/07/2014 12:00:00 AM","2200.0000",
"Aurizon Holdings Limited","GPO Box 456","BRISBANE","QLD","4000","LIB","22/10/2014 12:00:00 AM","2200.0000",
"Aurizon Holdings Limited","GPO Box 456","BRISBANE","QLD","4000","LNP - QLD","04/08/2014 12:00:00 AM","2000.0000",
"Aurizon Holdings Limited","GPO Box 456","BRISBANE","QLD","4000","LNP - QLD","29/04/2015 12:00:00 AM","1650.0000",
"Aurizon Holdings Limited","GPO Box 456","BRISBANE","QLD","4000","LNP - QLD","23/01/2015 12:00:00 AM","1100.0000",
"Aurizon Holdings Limited","GPO Box 456","BRISBANE","QLD","4000","LNP - QLD","14/01/2015 12:00:00 AM","550.0000",
"Aurizon Holdings Limited","GPO Box 456","BRISBANE","QLD","4000","LNP - QLD","02/03/2015 12:00:00 AM","300.0000",
"Aurizon Holdings Limited","GPO Box 456","BRISBANE","QLD","4000","ALP - QLD","19/06/2015 12:00:00 AM","264.0000",
"Aurizon Holdings Limited","GPO Box 456","BRISBANE","QLD","4000","LNP - QLD","09/03/2015 12:00:00 AM","150.0000",
"Aurizon Holdings Limited","GPO Box 456","BRISBANE","QLD","4000","LNP - QLD","27/02/2015 12:00:00 AM","150.0000",
